name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
"Last Night","Morgan Wallen",7K3BhSpAxZBznislvUMVtn,0.492,0.675,-5.456,0.0389,0.467,0,0.142,0.478,203.759,89
"Search & Rescue","Drake",7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,91
"Flowers","Miley Cyrus",0yLdNVWF3Srea0uzk55zFn,0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,98
"Kill Bill","SZA",3OHfY25tqY28d16oZczHc8,0.644,0.728,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.993,93
"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin",2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,96
"Calm Down (with Selena Gomez)","Rema",0WtM2NBVQNNJLh6scP13H8,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,96
"Die For You - Remix","The Weeknd",7oDd86yk8itslrA9HRP2ki,0.531,0.525,-6.5,0.0671,0.232,0,0.441,0.502,66.9,94
"Boy's a liar Pt. 2","PinkPantheress",6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.962,97
"Anti-Hero","Taylor Swift",02Zkkf2zMkwRGQjZ7T4p8f,0.638,0.634,-6.582,0.0457,0.133,1.23e-06,0.152,0.519,96.953,78
"Ella Baila Sola","Eslabon Armado",3dnP0JxCgygwQH9Gm7q7nb,0.668,0.758,-5.176,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,100
"Rock and A Hard Place","Bailey Zimmerman",4686eQ81DEswHa90bcdlC9,0.582,0.568,-7.3,0.0275,0.577,0,0.105,0.394,121.991,86
"Players","Coi Leray",6UN73IYd0hZxLi8wFPMQij,0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.001,93
"You Proof","Morgan Wallen",5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,-4.913,0.0336,0.252,0,0.605,0.644,119.706,80
"Favorite Song","Toosii",1SRw5p2lVAi7RGlHEmZg66,0.816,0.367,-9.354,0.0588,0.314,0,0.0987,0.413,116.035,85
"Sure Thing","Miguel",0JXXNGljqupsJaZsgSbMZV,0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,92
"Lavender Haze","Taylor Swift",4g2c7NoTWAOSYDy44l9nub,0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,77
"La Bebe - Remix","Yng Lvcas",2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,169.922,97
"As It Was","Harry Styles",4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,92
"Thought You Should Know","Morgan Wallen",6NHpyYvJyQsg2nXXzGYc2R,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.142,0.514,139.993,77
"Thinkin’ Bout Me","Morgan Wallen",0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,-5.775,0.0308,0.492,0,0.117,0.429,139.971,86
"I'm Good (Blue)","David Guetta",4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,95
"One Thing At A Time","Morgan Wallen",1rXq0uoV4KTgRN64jXzIxo,0.613,0.914,-5.153,0.03,0.00522,2.21e-06,0.26,0.916,141.978,83
"Fast Car","Luke Combs",1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,-5.52,0.0262,0.186,0,0.115,0.67,97.994,87
"Under The Influence","Chris Brown",5IgjP7X4th6nMNDh4akUHb,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,91
"Something in the Orange","Zach Bryan",3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,88
"Escapism.","RAYE",5mHdCZtVyb4DcJw8799hZp,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,89
"Thank God","Kane Brown",1brnLTvarI9D1hLP6z2Ar8,0.738,0.455,-8.735,0.0352,0.695,0,0.107,0.441,99.945,78
"SLUT ME OUT","NLE Choppa",5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,-6.396,0.419,0.117,0,0.528,0.706,121.108,88
"Unholy (feat. Kim Petras)","Sam Smith",3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,92
"Just Wanna Rock","Lil Uzi Vert",4FyesJzVpA39hbYvcseO2d,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,91
"Handle On You","Parker McCollum",6Qpfsw8OS5HW5XxgmXYLWS,0.588,0.931,-3.925,0.0318,0.00411,0,0.345,0.625,105.027,78
"wait in the truck (feat. Lainey Wilson)","HARDY",7trjNYF5ek7zX4GKSHQZbP,0.534,0.466,-6.98,0.0272,0.277,0,0.0979,0.23,140.0,76
"TQG","KAROL G",2oMjKuKUEJFuLiVmTq7Vjx,0.839,0.65,-3.38,0.212,0.666,0,0.126,0.7,90.015,85
"Snooze","SZA",4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,-7.231,0.132,0.141,0,0.11,0.392,143.008,92
"Rich Flex","Drake",1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,91
"Heart Like A Truck","Lainey Wilson",5ZCjp56T8J6d7amJyFSzrI,0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392,139.974,75
"Dancin’ In The Country","Tyler Hubbard",6Z1bV93BP95h4YjIavrQPf,0.655,0.869,-4.807,0.0633,0.00408,0,0.104,0.541,114.984,71
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Metro Boomin",0vjeOZ3Ft5jvAi9SBFJm1j,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,90
"Spin Bout U","Drake",2ZL7WZcjuYKi1KUDtp4kCC,0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963,85
"Love You Anyway","Luke Combs",3qXsX3mYSsD1DmAvc3PE3N,0.532,0.489,-7.419,0.0311,0.149,0,0.237,0.32,139.807,81
"Fight The Feeling","Rod Wave",7l6nGz4gp6HGs5Cvmdeqe4,0.634,0.538,-9.213,0.0603,0.0514,0,0.099,0.152,168.029,79
"Eyes Closed","Ed Sheeran",07bsRv0pcpbG4zJeLsUs1p,0.777,0.526,-6.221,0.0645,0.302,0,0.105,0.389,107.071,89
"Until I Found You","Stephen Sanchez",0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358,86
"CUFF IT","Beyoncé",1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,89
"Going, Going, Gone","Luke Combs",67AdiJcurlf6gocGobfaXs,0.565,0.56,-6.034,0.0275,0.538,0,0.0961,0.325,159.931,80
"Bloody Mary","Lady Gaga",11BKm0j4eYoCPPpCONAVwA,0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432,99.998,77
"golden hour","JVKE",5odlY52u43F5BjByhxg7wg,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,91
"Next Thing You Know","Jordan Davis",2lNTHWu2I5Tcz9ukWsV5Jj,0.557,0.597,-8.296,0.048,0.646,0,0.0974,0.414,78.526,77
"PRC","Peso Pluma",2mpoNBkngUEwnaKoBhZ0vl,0.784,0.826,-6.34,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,95
"Wild as Her","Corey Kent",4RG7P0CXQ4pe0OeCAHjX5L,0.504,0.736,-6.079,0.0352,0.00216,0,0.129,0.46,148.014,78
"Por las Noches","Peso Pluma",2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,-7.19,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,92
"Like Crazy","Jimin",3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,-5.445,0.0419,0.0025,0,0.357,0.362,120.001,92
"AMG","Natanael Cano",1lRtH4FszTrwwlK5gTSbXO,0.772,0.73,-6.657,0.0972,0.152,0.000107,0.274,0.786,136.175,95
"HAPPY","NF",3ZEno9fORwMA1HPecdLi0R,0.732,0.855,-4.064,0.0415,0.306,0,0.12,0.221,106.004,84
"Tennessee Orange","Megan Moroney",3fl4zil6HJ0N1FL3YIRwdC,0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.115,0.268,156.031,80
"Ain’t That Some","Morgan Wallen",2YVlDlk2zRceefo6XlC6DX,0.641,0.803,-5.781,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,84
"Everything I Love","Morgan Wallen",03fs6oV5JAlbytRYf3371S,0.568,0.841,-3.802,0.0261,0.00514,0.000503,0.147,0.668,103.983,81
"Low Down","Lil Baby",5m0yZ33oOy0yYBtdTXuxQe,0.962,0.619,-5.562,0.405,0.0354,0,0.083,0.154,127.958,84
"5 Leaf Clover","Luke Combs",2RbIoEQeXBoJzWt09eitEI,0.423,0.58,-4.959,0.0243,0.0554,2.92e-06,0.168,0.336,82.755,77
"Cupid","FIFTY FIFTY",5mg3VB3Qh7jcR5kAAC4DSV,0.774,0.66,-8.2,0.0328,0.662,0,0.4,0.961,120.023,86
"Red Ruby Da Sleeze","Nicki Minaj",4ZYAU4A2YBtlNdqOUtc7T2,0.696,0.733,-6.181,0.256,0.115,0,0.111,0.292,98.355,84
"Bebe Dame","Fuerza Regida",0mzsLrUNazBaRfYZfjmpSV,0.537,0.602,-4.631,0.0458,0.296,0,0.0715,0.753,157.437,88
"I Wrote The Book","Morgan Wallen",7phmBo7bB9I9YifAXqnlqV,0.692,0.808,-3.757,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,80
"All Of The Girls You Loved Before","Taylor Swift",4P9Q0GojKVXpRTJCaL3kyy,0.718,0.467,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96,91
"Cowgirls (feat. ERNEST)","Morgan Wallen",7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,172.08,82
"BESO","ROSALÍA",609E1JCInJncactoMmkDon,0.768,0.644,-6.671,0.136,0.736,0.000837,0.173,0.53,95.05,96
"Man Made A Bar (feat. Eric Church)","Morgan Wallen",73zawW1ttszLRgT9By826D,0.498,0.764,-5.006,0.0309,0.123,3.07e-05,0.119,0.489,147.984,82
"Nonsense","Sabrina Carpenter",6dgUya35uo964z7GZXM07g,0.74,0.697,-4.912,0.034,0.0268,0,0.224,0.732,138.992,90
"DOGTOOTH","Tyler, The Creator",0judK8TqYfvwUohBngUxrE,0.706,0.648,-6.348,0.324,0.505,0,0.215,0.802,77.533,83
"Ch y la Pizza","Fuerza Regida",1ySH55O0zbQBR77q8wQEyn,0.661,0.6,-4.495,0.125,0.401,0,0.141,0.848,148.666,86
"Strike (Holster)","Lil Yachty",7iTTWHbr4tAlsRJN4m4bay,0.851,0.642,-5.281,0.216,0.0658,0,0.0713,0.701,143.091,79
"Yandel 150","Yandel",2oiixB9QMIzhWaHGVlQx4g,0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,92
"Need A Favor","Jelly Roll",5jUOG0aeAofL5u3UWyrtDO,0.504,0.771,-4.231,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,76
"Special (feat. SZA)","Lizzo",0rc1HCVoReqzzXF9jssqZk,0.464,0.724,-5.019,0.0705,0.0188,0,0.679,0.303,82.526,78
"ICU","Coco Jones",58cMDjQSUdWJUgFmHxRhjt,0.584,0.453,-6.682,0.0661,0.753,0,0.111,0.328,124.913,74
"In Ha Mood","Ice Spice",0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.059,85
"PAINTING PICTURES","Superstar Pride",7oLKoGzQVwjZ91AzCn560T,0.956,0.515,-9.962,0.337,0.305,0,0.156,0.69,119.937,86
"ceilings","Lizzy McAlpine",2L9N0zZnd37dwF0clgxMGI,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,91
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap",4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,-5.6,0.0493,0.274,0,0.0915,0.498,122.104,96
"Trance (with Travis Scott & Young Thug)","Metro Boomin",5wG3HvLhF6Y5KTGlK0IW3J,0.571,0.549,-7.38,0.404,0.18,0,0.168,0.447,119.497,90
"NASTY","Russ",0DuylJNqsvjRN9hhWUdeJZ,0.838,0.297,-8.224,0.056,0.0109,4.6e-06,0.109,0.395,83.524,74
"SORRY NOT SORRY","Tyler, The Creator",410ZZP746AQeiywhKvXWCo,0.481,0.797,-4.094,0.201,0.404,0,0.368,0.495,96.237,85
"Peaches","Jack Black",4w9soAM7IrmYDhSXLp14p6,0.698,0.312,-10.9,0.0483,0.797,0,0.1,0.419,92.138,86
"Forever (feat. Fridayy)","Lil Baby",1T4k0sw0HldDg004Kw4Oct,0.462,0.251,-12.072,0.159,0.414,0,0.201,0.137,89.705,78
"CAREFUL","NF",7FET9gtiECWn7llt0sfvtU,0.834,0.834,-4.035,0.0591,0.0671,0,0.373,0.344,130.024,80
"Gold","Dierks Bentley",4iy69rTUn8cAY8Q8q9vfOw,0.674,0.873,-4.256,0.0285,0.0482,0,0.18,0.946,115.01,72
"El Azul","Junior H",1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,-7.081,0.055,0.226,7.76e-06,0.0986,0.844,143.876,94
"Love Again","The Kid LAROI",4sx6NRwL6Ol3V6m9exwGlQ,0.662,0.398,-6.691,0.0275,0.716,0,0.111,0.468,107.001,85
"Human","Cody Johnson",5AihIu9yF3flkw1jFMyfwW,0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,75
"I Know","Kanii",2RkMSIqUdveO3p8KVpYBYI,0.65,0.474,-10.902,0.14,0.486,0.000235,0.0729,0.279,134.073,79
"Dawns (feat. Maggie Rogers)","Zach Bryan",42TtHTxWk782ZBiqyOi2d1,0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,79
"El Gordo Trae El Mando","Chino Pacas",3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,-5.38,0.0525,0.179,0,0.0498,0.961,140.253,91
"Sunrise","Morgan Wallen",0JtgoDDf0ggWaoXCGhcOoT,0.613,0.765,-5.058,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,81
"Never Felt So Alone","Labrinth",2NbsBSshscKIPRG3kwBbfo,0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,88
"Don't Play With It (feat. Latto & Yung Miami) - Remix","Lola Brooke",7rl489EKnUgITmkBd6P9zi,0.776,0.688,-5.75,0.127,0.00645,0,0.0757,0.43,99.122,68
"Memory Lane","Old Dominion",5kB6WithhB8Iv08EMNmAbt,0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,78
"What He Didn't Do","Carly Pearce",5OLaVCAM2pqg7X9mAM2W8M,0.628,0.632,-5.932,0.0325,0.257,0,0.288,0.559,137.854,73
"Que Vuelvas","Carin Leon",6Um358vY92UBv5DloTRX9L,0.491,0.643,-4.309,0.0442,0.187,0,0.109,0.779,162.469,91
"WTF (feat. Nicki Minaj)","YoungBoy Never Broke Again",35NkPKSmtu6lCht95nukpr,0.723,0.631,-7.302,0.49,0.1,0,0.289,0.486,159.913,73
"’98 Braves","Morgan Wallen",3oZ6dlSfCE9gZ55MGPJctc,0.488,0.67,-5.759,0.0268,0.0969,0.00022,0.257,0.484,142.139,81
