danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo
0.629,0.733,-5.445,0.0419,0.0025,0,0.357,0.362,120.00
0.707,0.681,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.99
0.492,0.675,-5.456,0.0389,0.467,0,0.142,0.478,203.75
0.644,0.728,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.99
0.715,0.62,-6.005,0.0484,0.417,0,0.0822,0.172,97.9
0.531,0.525,-6.5,0.0671,0.232,0,0.441,0.502,66.
0.696,0.809,-8.254,0.05,0.252,0.000128,0.248,0.857,132.96
0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.99
0.638,0.634,-6.582,0.0457,0.133,1.23e-06,0.152,0.519,96.95
0.954,0.516,-5.817,0.16,0.03,7.54e-06,0.0504,0.624,105.00
0.731,0.85,-4.913,0.0336,0.252,0,0.605,0.644,119.70
0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.9
0.582,0.568,-7.3,0.0275,0.577,0,0.105,0.394,121.99
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.99
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.0
0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.03
0.816,0.367,-9.354,0.0588,0.314,0,0.0987,0.413,116.03
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.00
0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.142,0.514,139.99
0.656,0.757,-5.775,0.0308,0.492,0,0.117,0.429,139.97
0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.18
0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.10
0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.12
0.532,0.489,-7.419,0.0311,0.149,0,0.237,0.32,139.80
0.613,0.914,-5.153,0.03,0.00522,2.21e-06,0.26,0.916,141.97
0.777,0.526,-6.221,0.0645,0.302,0,0.105,0.389,107.07
0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.21
0.839,0.65,-3.38,0.212,0.666,0,0.126,0.7,90.01
0.738,0.455,-8.735,0.0352,0.695,0,0.107,0.441,99.94
0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.1
0.668,0.758,-5.176,0.0332,0.483,1.89e-05,0.0837,0.834,147.98
0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392,139.97
0.423,0.58,-4.959,0.0243,0.0554,2.92e-06,0.168,0.336,82.75
0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,169.92
0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.35
0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.04
0.559,0.551,-7.231,0.132,0.141,0,0.11,0.392,143.00
0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.62
0.718,0.467,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.9
0.534,0.466,-6.98,0.0272,0.277,0,0.0979,0.23,140.
0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.96
0.565,0.56,-6.034,0.0275,0.538,0,0.0961,0.325,159.93
0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432,99.99
0.712,0.603,-5.52,0.0262,0.186,0,0.115,0.67,97.99
0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.95
0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.46
0.628,0.632,-5.932,0.0325,0.257,0,0.288,0.559,137.85
0.568,0.841,-3.802,0.0261,0.00514,0.000503,0.147,0.668,103.98
0.641,0.803,-5.781,0.0286,0.00232,3.86e-06,0.361,0.671,121.08
0.962,0.619,-5.562,0.405,0.0354,0,0.083,0.154,127.95
0.696,0.733,-6.181,0.256,0.115,0,0.111,0.292,98.35
0.768,0.644,-6.671,0.136,0.736,0.000837,0.173,0.53,95.0
0.588,0.931,-3.925,0.0318,0.00411,0,0.345,0.625,105.02
0.511,0.6,-5.699,0.0268,0.16,5.25e-06,0.114,0.269,146.05
0.692,0.808,-3.757,0.0396,0.0834,3.75e-05,0.0913,0.802,143.97
0.956,0.515,-9.962,0.337,0.305,0,0.156,0.69,119.93
0.537,0.602,-4.631,0.0458,0.296,0,0.0715,0.753,157.43
0.504,0.736,-6.079,0.0352,0.00216,0,0.129,0.46,148.01
0.498,0.764,-5.006,0.0309,0.123,3.07e-05,0.119,0.489,147.98
0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,172.0
0.557,0.597,-8.296,0.048,0.646,0,0.0974,0.414,78.52
0.74,0.697,-4.912,0.034,0.0268,0,0.224,0.732,138.99
0.778,0.632,-5.6,0.0493,0.274,0,0.0915,0.498,122.10
0.38,0.488,-6.637,0.029,0.126,7.23e-06,0.115,0.268,156.03
0.358,0.284,-8.285,0.0285,0.805,0,0.183,0.276,99.79
0.464,0.724,-5.019,0.0705,0.0188,0,0.679,0.303,82.52
0.772,0.73,-6.657,0.0972,0.152,0.000107,0.274,0.786,136.17
0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.05
0.776,0.688,-5.75,0.127,0.00645,0,0.0757,0.43,99.12
0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.00
0.662,0.398,-6.691,0.0275,0.716,0,0.111,0.468,107.00
0.571,0.549,-7.38,0.404,0.18,0,0.168,0.447,119.49
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.96
0.584,0.453,-6.682,0.0661,0.753,0,0.111,0.328,124.91
0.655,0.869,-4.807,0.0633,0.00408,0,0.104,0.541,114.98
0.807,0.595,-7.19,0.0325,0.31,2.44e-05,0.0735,0.392,92.49
0.613,0.765,-5.058,0.0318,0.259,4.28e-06,0.0832,0.343,139.99
0.784,0.826,-6.34,0.0538,0.0965,7.09e-05,0.123,0.893,138.07
0.488,0.67,-5.759,0.0268,0.0969,0.00022,0.257,0.484,142.13
0.613,0.803,-5.171,0.0367,0.000525,0.000333,0.189,0.461,127.98
0.706,0.648,-6.348,0.324,0.505,0,0.215,0.802,77.53
0.938,0.606,-6.396,0.419,0.117,0,0.528,0.706,121.10
0.462,0.251,-12.072,0.159,0.414,0,0.201,0.137,89.70
0.686,0.897,-7.18,0.0386,0.0103,0.103,0.153,0.355,129.97
0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.81
0.634,0.844,-3.809,0.042,0.0766,0,0.0904,0.246,85.03
0.491,0.643,-4.309,0.0442,0.187,0,0.109,0.779,162.46
0.571,0.761,-3.485,0.0261,0.0708,0,0.331,0.681,91.99
0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.0
0.415,0.573,-6.567,0.0286,0.28,0.00449,0.0966,0.322,80.9
0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.04
0.674,0.873,-4.256,0.0285,0.0482,0,0.18,0.946,115.0
0.683,0.764,-5.995,0.0441,0.0427,0,0.0963,0.137,149.94
0.774,0.66,-8.2,0.0328,0.662,0,0.4,0.961,120.02
0.736,0.8,-5.38,0.0525,0.179,0,0.0498,0.961,140.25
0.553,0.587,-6.829,0.0277,0.345,0.1,0.256,0.346,90.01
0.661,0.6,-4.495,0.125,0.401,0,0.141,0.848,148.66
0.544,0.826,-3.848,0.0288,0.0631,1.46e-05,0.113,0.596,142.02
0.639,0.723,-6.462,0.0532,0.511,0,0.167,0.878,136.87
0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.97
